cytoband	9p21.3	17p11.2	1p36.11	19p13.3	3p21.2	8p21.2	7q31.33	6q25.3	10p12.31	8p23.1	13q12.11	
q value	3.0177e-75	3.0635e-09	1.1831e-06	4.4399e-05	0.00077043	5.6079e-06	0.051215	0.056232	0.062176	1.7511e-05	0.19545	
residual q value	3.0177e-75	3.0635e-09	1.1831e-06	4.4399e-05	0.00077043	0.0097766	0.051215	0.056232	0.062176	0.094351	0.19545	
wide peak boundaries	chr9:21853650-22447421	chr17:18344598-18492876	chr1:16776304-31195862	chr19:1872647-2083580	chr3:29466467-66303656	chr8:1-33376986	chr7:100601843-159138663	chr6:70598973-171115067	chr10:19017623-19445102	chr8:1-28937524	chr13:1-23959312	
genes in wide peak	CDKN2A	FAM106A	hsa-mir-1976	CSNK1G2	hsa-mir-135a-1	hsa-mir-3148	hsa-mir-595	hsa-mir-1913	[ARL5B]	hsa-mir-4288	FGF9	
	CDKN2B	USP32P2	hsa-mir-3115	MKNK2	hsa-mir-566	hsa-mir-4288	hsa-mir-153-2	hsa-mir-1202		hsa-mir-4287	GJA3	
	MTAP	CCDC144B	hsa-mir-4253	BTBD2	hsa-mir-4271	hsa-mir-4287	hsa-mir-671	hsa-mir-1273c		hsa-mir-548h-4	GJB2	
	C9orf53	LGALS9C	hsa-mir-1256	FAM108A1	hsa-mir-191	hsa-mir-548h-4	hsa-mir-1975	hsa-mir-3145		hsa-mir-320a	SGCG	
	DMRTA1		hsa-mir-1290	SCAMP4	hsa-mir-711	hsa-mir-320a	hsa-mir-548f-4	hsa-mir-548a-2		hsa-mir-548v	TUBA3C	
	CDKN2B-AS1		ALPL	ADAT3	hsa-mir-2115	hsa-mir-548v	hsa-mir-490	hsa-mir-588		hsa-mir-383	ZMYM2	
			C1QA	MOB3A	hsa-mir-1226	hsa-mir-383	hsa-mir-29b-1	hsa-mir-3144		hsa-mir-598	IFT88	
			C1QB	CSNK1G2-AS1	hsa-mir-564	hsa-mir-598	hsa-mir-335	hsa-mir-548b		hsa-mir-1322	ZMYM5	
			C1QC		hsa-mir-138-1	hsa-mir-1322	hsa-mir-183	hsa-mir-587		hsa-mir-4286	SAP18	
			CAPZB		hsa-mir-26a-1	hsa-mir-4286	hsa-mir-129-1	hsa-mir-2113		hsa-mir-124-1	GJB6	
			RUNX3		hsa-mir-128-2	hsa-mir-124-1	hsa-mir-593	hsa-mir-4282		hsa-mir-597	SACS	
			CDA		hsa-mir-466	hsa-mir-597	hsa-mir-592	hsa-mir-30a		hsa-mir-548i-3	LATS2	
			CDC42		ACAA1	hsa-mir-548i-3	hsa-mir-548o	hsa-mir-30c-2		hsa-mir-596	CRYL1	
			CD52		ACVR2B	hsa-mir-596	hsa-mir-4285	ACAT2		NAT1	IL17D	
			RCC1		ACY1	NAT1	ABP1	AIM1		NAT2	MPHOSPH8	
			CNR2		ALAS1	NAT2	AKR1B1	AMD1		ADRA1A	PSPC1	
			DDOST		AMT	ADRA1A	ARF5	ARG1		ANGPT2	XPO4	
			E2F2		APEH	ANGPT2	OPN1SW	BCKDHB		ASAH1	MRP63	
			ECE1		ARF4	ASAH1	BPGM	PRDM1		ATP6V1B2	TPTE2	
			EPB41		RHOA	ATP6V1B2	BRAF	CCNC		BLK	N6AMT2	
			EPHA8		C3orf51	BLK	CALD1	CGA		BMP1	SKA3	
			EPHB2		CACNA1D	BMP1	CALU	CCR6		POLR3D	EFHA1	
			EXTL1		SLC25A20	POLR3D	CAPZA2	CNR1		BNIP3L	ZDHHC20	
			EYA3		CAMP	BNIP3L	CASP2	COL9A1		CHRNA2	PHF2P1	
			FGR		CCK	CHRNA2	CAV1	COL10A1		CLU	ANKRD20A9P	
			FUCA1		ENTPD3	CLU	CAV2	COL12A1		CTSB	LINC00442	
			IFI6		CDC25A	CTSB	CDK5	COL19A1		DEFA1	BASP1P1	
			GALE		CISH	DEFA1	CFTR	COX7A2		DEFA3	ANKRD26P3	
			SFN		CCR1	DEFA3	CHRM2	CTGF		DEFA4	LINC00421	
			GPR3		CCR3	DEFA4	AP1S1	EEF1A1		DEFA5	MIR4499	
			HMGN2		CCR4	DEFA5	CLCN1	EPB41L2		DEFA6		
			HMGCL		CCR5	DEFA6	CPA1	EPHA7		DEFB1		
			HSPG2		CCR8	DEFB1	CPA2	EYA4		DEFB4A		
			HTR1D		CCBP2	DEFB4A	CUX1	ESR1		DPYSL2		
			HTR6		COL7A1	DPYSL2	DLD	FABP7		EGR3		
			ID3		CTNNB1	DUSP4	DPP6	FOXO3		EPB49		
			STMN1		CX3CR1	EGR3	SLC26A3	FRK		EPHX2		
			MATN1		CYP8B1	EPB49	EN2	FUCA2		CLN8		
			MFAP2		DAG1	EPHX2	EPHA1	FYN		EXTL3		
			NBL1		DNASE1L3	CLN8	EPHB6	GABRR1		PTK2B		
			OPRD1		DOCK3	EXTL3	EZH2	GABRR2		FDFT1		
			PAFAH2		DUSP7	PTK2B	FLNC	GJA1		FGL1		
			PAX7		CELSR3	FDFT1	GBX1	GPR6		GATA4		
			PLA2G2A		FHIT	FGL1	GPR22	GPR31		GFRA2		
			PLA2G5		FLNB	GATA4	GPR37	GRIK2		GNRH1		
