cytoband	9p21.3	17p11.2	1p36.11	8p23.1	19p13.3	3p14.2	10p12.31	9p13.2	7q31.33	13q12.11	
q value	7.7243e-49	5.6948e-06	9.9954e-05	0.0027443	0.0045657	0.005122	0.053288	0.0045657	0.19133	0.23619	
residual q value	2.6234e-48	5.6948e-06	9.9954e-05	0.0027443	0.0045657	0.005122	0.053288	0.11957	0.19133	0.23619	
wide peak boundaries	chr9:21853650-22447421	chr17:18277099-18492876	chr1:16776358-31423203	chr8:1-28937885	chr19:1872647-2083580	chr3:29466467-85944842	chr10:19017623-19445111	chr9:35286104-40293218	chr7:57519514-159138663	chr13:1-24568111	
genes in wide peak	CDKN2A	FAM106A	hsa-mir-1976	hsa-mir-4288	CSNK1G2	hsa-mir-4273	[ARL5B]	ALDH1B1	hsa-mir-595	FGF9	
	CDKN2B	USP32P2	hsa-mir-3115	hsa-mir-4287	MKNK2	hsa-mir-1324		CA9	hsa-mir-153-2	GJA3	
	MTAP	CCDC144B	hsa-mir-4253	hsa-mir-548h-4	BTBD2	hsa-mir-1284		CCIN	hsa-mir-671	GJB2	
	C9orf53	LOC339240	hsa-mir-1256	hsa-mir-320a	FAM108A1	hsa-mir-3136		CD72	hsa-mir-1975	MIPEP	
	DMRTA1	EVPLL	hsa-mir-1290	hsa-mir-548v	SCAMP4	hsa-mir-4272		CLTA	hsa-mir-548f-4	SGCG	
	CDKN2B-AS1	LGALS9C	ALPL	hsa-mir-383	ADAT3	hsa-mir-135a-1		NPR2	hsa-mir-490	TUBA3C	
			C1QA	hsa-mir-598	MOB3A	hsa-mir-566		PAX5	hsa-mir-29b-1	ZMYM2	
			C1QB	hsa-mir-1322	CSNK1G2-AS1	hsa-mir-4271		RMRP	hsa-mir-335	IFT88	
			C1QC	hsa-mir-4286		hsa-mir-191		SHB	hsa-mir-183	ZMYM5	
			CAPZB	hsa-mir-124-1		hsa-mir-711		TESK1	hsa-mir-129-1	SAP18	
			RUNX3	hsa-mir-597		hsa-mir-2115		TLN1	hsa-mir-593	GJB6	
			CDA	hsa-mir-548i-3		hsa-mir-1226		TPM2	hsa-mir-592	SACS	
			CDC42	hsa-mir-596		hsa-mir-564		RECK	hsa-mir-548o	LATS2	
			CD52	NAT1		hsa-mir-138-1		GRHPR	hsa-mir-4285	CRYL1	
			RCC1	NAT2		hsa-mir-26a-1		RGP1	hsa-mir-106b	IL17D	
			CNR2	ADRA1A		hsa-mir-128-2		MELK	hsa-mir-591	MPHOSPH8	
			DDOST	ANGPT2		hsa-mir-466		RUSC2	hsa-mir-489	PSPC1	
			E2F2	ASAH1		ACAA1		ZBTB5	hsa-mir-1285-1	TNFRSF19	
			ECE1	ATP6V1B2		ACVR2B		GNE	hsa-mir-590	XPO4	
			EPB41	BLK		ACY1		CREB3	hsa-mir-4284	MRP63	
			EPHA8	BMP1		ALAS1		UNC13B	hsa-mir-4283-2	TPTE2	
			EPHB2	POLR3D		AMT		FRMPD1	ABP1	N6AMT2	
			EXTL1	BNIP3L		APEH		SPAG8	ACHE	SKA3	
			EYA3	CHRNA2		ARF4		FBXO10	AKR1B1	EFHA1	
			FGR	CLU		RHOA		SIT1	ARF5	ZDHHC20	
			FUCA1	CTSB		C3orf51		EXOSC3	ASL	PHF2P1	
			IFI6	DEFA1		CACNA1D		TMEM8B	ASNS	ANKRD20A9P	
			GALE	DEFA3		SLC25A20		OR2S2	AZGP1	LINC00442	
			SFN	DEFA4		CAMP		GBA2	OPN1SW	C1QTNF9B	
			GPR3	DEFA5		CCK		POLR1E	BPGM	C1QTNF9B-AS1	
			HMGN2	DEFA6		ENTPD3		DCAF10	BRAF	BASP1P1	
			HMGCL	DEFB1		CDC25A		CNTNAP3	CACNA2D1	ANKRD26P3	
			HSPG2	DEFB4A		CISH		ZCCHC7	CALCR	LINC00421	
			HTR1D	DPYSL2		CCR1		HINT2	CALD1	LINC00327	
			HTR6	EGR3		CCR3		C9orf100	CALU	MIR4499	
			ID3	EPB49		CCR4		MCART1	CAPZA2		
			STMN1	EPHX2		CCR5		FP588	CASP2		
			MATN1	CLN8		CCR8		RNF38	CAV1		
			MFAP2	EXTL3		CCBP2		GLIPR2	CAV2		
			NBL1	PTK2B		COL7A1		FAM201A	KRIT1		
			OPRD1	FDFT1		CTNNB1		RG9MTD3	CD36		
			PAFAH2	FGL1		CX3CR1		LOC158376	CDK5		
			PAX7	GATA4		CYP8B1		ATP8B5P	CDK6		
			PLA2G2A	GFRA2		DAG1		CCDC107	CFTR		
			PLA2G5	GNRH1		DNASE1L3		ANKRD18A	CHRM2		
			PPP1R8	LOXL2		DOCK3		IGFBPL1	AP1S1		
			PTAFR	LPL		DUSP7		C9orf128	CLCN1		
			RAP1GAP	MSR1		CELSR3		OR13J1	COL1A2		
			RHCE	MSRA		FHIT		TOMM5	CPA1		
			RHD	NEFM		FLNB		FAM74A1	CPA2		
			RPA2	NEFL		GBE1		ZNF658B	CLDN4		
			RPL11	NKX3-1		GLB1		FAM75A2	CLDN3		
			RPS6KA1	PCM1		GNAI2		HRCT1	CUX1		
			SDHB	PDGFRL		GNAT1		FAM75A1	CYP3A7		
			SRSF4	PNOC		GOLGA4		LOC653501	CYP3A4		
			SLC9A1	PPP2R2A		XCR1		MSMP	CYP3A5		
			TAF12	PPP3CC		GPR27		FAM166B	CYP51A1		
			TCEA3	SFTPC		GPX1		LOC100506710	DLD		
			TCEB3	SLC7A2		GRM2		MIR4667	DLX5		
			SLC30A2	SLC18A1		HYAL1		MIR4540	DLX6		
			LUZP1	STC1		IMPDH2		MIR4475	DYNC1I1		
			LAPTM5	FZD3		ITGA9		MIR4476	DPP6		
			ARID1A	TUSC3		ITIH1			SLC26A3		
			SNHG3	TNKS		ITIH3			ELN		
			NR0B2	ADAM7		ITIH4			EN2		
			FCN3	TNFRSF10D		LAMB2			EPHA1		
			AKR7A2	TNFRSF10C		RPSA			EPHB4		
			ALDH4A1	TNFRSF10B		LTF			EPHB6		
			EIF4G3	TNFRSF10A		MAP4			EPO		
			MAP3K6	FGF17		MITF			ERV3-1		
			C1orf38	DOK2		MLH1			EZH2		
			SDC3	MTMR7		MOBP			FLNC		
			CROCC	MYOM2		MST1			GBX1		
			PUM1	DLGAP2		MST1R			GNAI1		
			ZBTB40	MFHAS1		MYD88			GNB2		
			PTPRU	ENTPD4		MYL3			GNG11		
			CELA3A	ARHGEF10		NKTR			GNGT1		
			WASF2	PHYHIP		CNTN3			GPR22		
			HNRNPR	KBTBD11		PDHB			GPR37		
			SRRM1	SORBS3		PFKFB4			GRM3		
			CNKSR1	NPM2		PLCD1			GRM8		
			GMEB1	DLC1		PLXNB1			GTF2I		
			NUDC	SPAG11B		PRKAR2A			GTF2IP1		
			SRSF10	PNMA2		PRKCD			GUSB		
			RCAN3	ADAM28		PTH1R			HGF		
			MST1P2	LZTS1		PTPRG			HIP1		
			MST1P9	XPO7		QARS			MNX1		
			PADI2	TRIM35		SNORA62			AGFG2		
			LYPLA2	RHOBTB2		ROBO1			HSPB1		
			DNAJC8	KIF13B		ROBO2			HTR5A		
			AKR7A3	PSD3		RPL29			IFRD1		
			KDM1A	SLC39A14		ATXN7			IMPDH1		
			WDTC1	FBXO25		SCN5A			INSIG1		
			KIAA0090	FGF20		SCN10A			IRF5		
			OTUD3	ADAMDEC1		SEMA3F			KCND2		
			UBR4	CNOT7		SMARCC1			KCNH2		
			ATP13A2	ZDHHC2		STAC			KEL		
			CELA3B	SLC25A37		NEK4			LAMB1		
			PADI4	SCARA3		TCTA			LEP		
			TMEM50A	KCTD9		TDGF1			LIMK1		
			STX12	PINX1		TGM4			LRCH4		
			CLIC4	PIWIL2		TGFBR2			MCM7		
			SYF2	ELP3		TKT			DNAJB9		
			LDLRAP1	INTS10		TMF1			MDH2		
			PLA2G2D	CCDC25		CLEC3B			MEST		
			RNU11	AGPAT5		TNNC1			MET		
			AHDC1	INTS9		UBA7			MKLN1		
			SMPDL3B	CSGALNACT1		UBP1			NDUFA5		
			LINC00339	HR		USP4			NDUFB2		
			PADI1	PBK		UQCRC1			NOS3		
			PLA2G2E	ZNF395		VIPR1			CNOT4		
			HP1BP3	DEFB103B		WNT5A			NPTX2		
			ZNF593	BIN3		ZNF35			NRCAM		
			MECR	MTUS1		IFRD2			NRF1		
			MRTO4	KIAA1456		MAPKAPK3			OCM2		
			YTHDF2	KIAA1967		SEMA3B			ORC5		
			PADI3	SH2D4A		SLMAP			SERPINE1		
			WNT4	PDLIM2		MANF			PAX4		
			RNF186	CSMD1		ACOX2			PCOLCE		
			GPN2	EBF2		BAP1			PDK4		
			MED18	FAM160B2		HYAL3			SLC26A4		
			PQLC2	MTMR9		CADPS			PEX1		
			TRNAU1AP	HMBOX1		HYAL2			CDK14		
			AIM1L	MCPH1		SUCLG2			ABCB1		
			XKR8	PPP1R3B		HESX1			ABCB4		
			ARHGEF10L	NUDT18		BSN			PIK3CG		
			TMEM57	DOCK5		LIMD1			PIP		
			CAMK2N1	FLJ14107		CCRL2			PMS2P1		
			ASAP3	REEP4		UBA3			PMS2L2		
			PNRC2	STMN4		RPL14			PMS2P4		
			PIGV	SOX7		SEC22C			PMS2P5		
			NBPF1	FAM167A		RRP9			PMS2P3		
			NECAP2	SLC35G5		LRRFIP2			PODXL		
			RCC2	LINC00208		MAGI1			POLR2J		
			FAM54B	C8orf12		CACNA2D2			PON1		
			C1orf63	FAM86B1		SLC22A14			PON2		
			PITHD1	ERI1		SLC22A13			PON3		
			MAN1C1	LONRF1		VPRBP			POR		
			NIPAL3	CHMP7		IP6K1			PPP1R3A		
			SEPN1	RP1L1		EPM2AIP1			PRKAR2B		
			KIF17	CLDN23		PSMD6			PRSS1		
			GRHL3	VPS37A		TRANK1			PRSS2		
			IL22RA1	NKX2-6		DLEC1			RELN		
			GPATCH3	SGCZ		EXOG			PSMC2		
