cytoband	9p21.3	18q21.2	Xp22.33	17p11.2	19p13.3	Xq28	8p21.2	20p12.2	1p36.13	6p25.2	12p13.33	18q23	8p23.3	
q value	6.3163e-23	3.624e-10	5.094e-06	0.00031791	0.0013239	0.0054381	0.000149	0.04277	0.069717	0.079121	0.11851	4.3818e-08	0.0010954	
residual q value	6.3163e-23	2.3956e-07	5.094e-06	0.00031791	0.0013239	0.0054381	0.0065109	0.04277	0.069717	0.079121	0.11851	0.13702	0.18325	
wide peak boundaries	chr9:21131836-22461298	chr18:48341886-50288477	chrX:1-2692891	chr17:18344598-18485888	chr19:1137267-1229465	chrX:155049847-155270560	chr8:3845887-38059946	chr20:1-24575353	chr1:1-114977136	chr6:1-30523593	chr12:1-24746537	chr18:25553117-78077248	chr8:1-28717826	
genes in wide peak	hsa-mir-31	DCC	SLC25A6	FAM106A	STK11	IL9R	hsa-mir-3148	hsa-mir-3192	hsa-mir-4256	hsa-mir-3143	hsa-mir-920	hsa-mir-122	hsa-mir-4288	
	CDKN2A	SMAD4	ASMT	USP32P2	SBNO2	VAMP7	hsa-mir-4288	hsa-mir-103-2-as	hsa-mir-197	hsa-mir-548a-1	hsa-mir-614	hsa-mir-4320	hsa-mir-4287	
	CDKN2B	ME2	CSF2RA	CCDC144B			hsa-mir-4287	hsa-mir-1292	hsa-mir-553	BMP6	hsa-mir-613	hsa-mir-1539	hsa-mir-548h-4	
	IFNA1	MEX3C	IL3RA	LGALS9C			hsa-mir-548h-4	ADRA1D	hsa-mir-137	BPHL	hsa-mir-1244-3	hsa-mir-4319	hsa-mir-320a	
	IFNA2	ELAC1	CD99				hsa-mir-320a	JAG1	hsa-mir-760	BTN1A1	hsa-mir-141	hsa-mir-924	hsa-mir-548v	
	IFNA4	MRO	SHOX				hsa-mir-548v	AVP	hsa-mir-186	DSP	A2M	hsa-mir-4318	hsa-mir-383	
	IFNA5	LOC100287225	XG				hsa-mir-383	BFSP1	hsa-mir-1262	E2F3	A2MP1	hsa-mir-187	hsa-mir-598	
	IFNA6		GTPBP6				hsa-mir-598	BMP2	hsa-mir-3117	EDN1	APOBEC1	hsa-mir-302f	hsa-mir-1322	
	IFNA7		AKAP17A				hsa-mir-1322	CDC25B	hsa-mir-101-1	SERPINB1	ARHGDIB	ATP5A1	hsa-mir-4286	
	IFNA8		ASMTL				hsa-mir-4286	CENPB	hsa-mir-3116-2	F13A1	ART4	BCL2	hsa-mir-124-1	
	IFNA10		ZBED1				hsa-mir-124-1	CHGB	hsa-mir-761	FOXF2	C1R	CDH2	hsa-mir-597	
	IFNA13		PPP2R3B				hsa-mir-597	CSNK2A1	hsa-mir-30c-1	FOXC1	C1S	CDH7	hsa-mir-548i-3	
	IFNA14		PLCXD1				hsa-mir-548i-3	CST1	hsa-mir-4255	GABBR1	C3AR1	CYB5A	hsa-mir-596	
	IFNA16		CRLF2				NAT1	CST2	hsa-mir-552	GCNT2	CACNA1C	DCC	NAT1	
	IFNA17		ASMTL-AS1				NAT2	CST3	hsa-mir-4254	GMDS	CCND2	DSC1	NAT2	
	IFNA21		DHRSX				ADRA1A	CST4	hsa-mir-1976	GMPR	CD4	DSC2	ADRA1A	
	IFNA22P		PPP2R3B-AS1				ADRB3	CST5	hsa-mir-3115	GNL1	CD9	DSC3	ANGPT2	
	IFNW1		P2RY8				ANGPT2	FKBP1A	hsa-mir-4253	GPLD1	CD27	DSG1	ASAH1	
	MTAP		CD99P1				ASAH1	GNRH2	hsa-mir-1256	GPX5	CD69	DSG2	ATP6V1B2	
	C9orf53		XGPY2				ATP6V1B2	FOXA2	hsa-mir-1290	HIST1H1C	CDKN1B	DSG3	BLK	
	KLHL9		LINC00102				BLK	IDH3B	hsa-mir-1273d	HIST1H1D	CHD4	DTNA	BMP1	
	DMRTA1		MIR3690				BMP1	INSM1	hsa-mir-34a	HIST1H1E	CREBL2	FECH	POLR3D	
	IFNE						POLR3D	ITPA	hsa-mir-4252	HIST1H1B	ATN1	KDSR	BNIP3L	
	MIR31						BNIP3L	NKX2-2	hsa-mir-551a	HIST1H1T	PHC1	GALR1	CHRNA2	
	MIR31HG						CHRNA2	OXT	hsa-mir-4251	HIST1H2AE	EMP1	GALNT1	CLU	
	CDKN2B-AS1						CLU	PAX1	hsa-mir-429	HIST1H2AD	ENO2	GRP	CTSB	
							CTSB	PCNA	hsa-mir-1302-2	HIST1H2BD	EPS8	LMAN1	DEFA1	
							DEFA1	PCSK2	ABCA4	HIST1H2BB	ETV6	SMAD2	DEFA3	
							DEFA3	PDYN	ACADM	HIST1H1A	FGF6	SMAD4	DEFA4	
							DEFA4	PLCB4	ADORA3	HFE	FKBP4	SMAD7	DEFA5	
							DEFA5	PRNP	AGL	HIVEP1	FOXM1	MBD1	DEFA6	
							DEFA6	PTPRA	AK2	HLA-A	GAPDH	MBP	DEFB1	
							DEFB1	RRBP1	AK4	HLA-E	GNB3	MC4R	DEFB4A	
							DEFB4A	SIGLEC1	ALPL	HLA-F	GPR19	ME2	DPYSL2	
							DPYSL2	SNAP25	ALX3	HLA-G	GRIN2B	MEP1B	EGR3	
							DUSP4	SNRPB	AMPD2	HLA-H	GUCY2C	MYO5B	EPB49	
							EGR3	SNRPB2	AMY1A	HLA-J	GYS2	NARS	EPHX2	
							EIF4EBP1	SOX12	AMY1B	HLA-L	IAPP	NFATC1	CLN8	
							EPB49	SSTR4	AMY1C	ID4	KCNA1	SERPINB2	EXTL3	
							EPHX2	TCF15	AMY2A	IRF4	KCNA5	ATP8B1	PTK2B	
							EXTL3	TGM3	AMY2B	JARID2	KCNA6	SERPINB5	FDFT1	
							PTK2B	THBD	RHOC	MAK	KCNJ8	SERPINB8	FGL1	
							FDFT1	ZNF133	RERE	MOG	KLRB1	SERPINB10	GATA4	
							FGL1	MKKS	ATP5F1	NEDD9	KLRC1	SERPINB13	GFRA2	
							GATA4	ATRN	ATP6V0B	NQO2	KLRC2	PIK3C3	GNRH1	
							GFRA2	CDS2	BAI2	SERPINB6	KLRC3	PMAIP1	LOXL2	
							GNRH1	PSMF1	BMP8B	SERPINB9	KLRD1	MAPK4	LPL	
							GSR	SNPH	BRDT	PRL	LAG3	RAB27B	MSR1	
							GTF2E2	ProSAPiP1	C1QA	TRIM27	LDHB	RIT2	MSRA	
